Time (ms),Measured Pitch,Commanded Pitch
19596.0,-0.1,0.0
19605.0,-0.17,0.0
19615.0,-0.19,0.0
19624.0,-0.15,0.0
19635.0,-0.08,0.0
19644.0,-0.17,0.0
19653.0,-0.16,0.0
19663.0,-0.13,0.0
19673.0,-0.06,-6.99
19683.0,-0.0,-6.99
19692.0,0.06,-6.99
19701.0,-0.01,-6.99
19712.0,-0.19,-6.99
19721.0,-0.96,-6.99
19731.0,-2.3,-6.99
19740.0,-3.89,-6.99
19749.0,-5.37,-6.99
19760.0,-6.33,-6.99
19769.0,-6.79,-6.99
19779.0,-6.85,-6.99
19788.0,-6.78,-6.99
19798.0,-6.59,-6.99
19808.0,-6.62,-6.99
19817.0,-6.82,-6.99
19827.0,-7.04,-6.99
19836.0,-7.07,-6.99
19846.0,-6.98,-6.99
19856.0,-6.86,-6.99
19865.0,-6.85,-6.99
19875.0,-6.99,-6.99
19885.0,-7.07,-6.99
19894.0,-7.08,-6.99
19904.0,-6.99,-6.99
19913.0,-6.96,-6.99
19922.0,-7.05,-6.99
19933.0,-7.14,-6.99
19942.0,-7.09,-6.99
19952.0,-7.01,-6.99
19961.0,-6.95,-6.99
19971.0,-6.95,-6.99
19981.0,-7.03,-6.99
19990.0,-7.1,-6.99
20000.0,-7.11,-6.99
20009.0,-7.09,-6.99
20019.0,-7.18,-6.99
20029.0,-7.22,-6.99
20038.0,-7.14,-6.99
20048.0,-7.09,-6.99
20058.0,-7.02,-6.99
20067.0,-7.1,-6.99
20077.0,-7.18,-6.99
20086.0,-7.25,-6.99
20097.0,-7.31,-6.99
20106.0,-7.36,-6.99
20115.0,-7.38,-6.99
20125.0,-7.31,-6.99
20134.0,-7.24,-6.99
20145.0,-7.2,-6.99
20154.0,-7.28,-6.99
20163.0,-7.21,-6.99
20173.0,-7.14,-6.99
20183.0,-7.23,0.0
20193.0,-7.31,0.0
20202.0,-7.39,0.0
20211.0,-7.25,0.0
20221.0,-6.47,0.0
20231.0,-5.06,0.0
20240.0,-3.46,0.0
20250.0,-1.98,0.0
20259.0,-1.07,0.0
20270.0,-0.77,0.0
20279.0,-0.75,0.0
20288.0,-0.77,0.0
20298.0,-0.64,0.0
20307.0,-0.47,0.0
20318.0,-0.4,0.0
20327.0,-0.41,0.0
20336.0,-0.55,0.0
20346.0,-0.64,0.0
20356.0,-0.63,0.0
20366.0,-0.53,0.0
20375.0,-0.49,0.0
20384.0,-0.54,0.0
20395.0,-0.6,0.0
20404.0,-0.53,0.0
20414.0,-0.46,0.0
20423.0,-0.41,0.0
20432.0,-0.48,0.0
20443.0,-0.54,0.0
20452.0,-0.46,0.0
20462.0,-0.39,0.0
20471.0,-0.39,0.0
20481.0,-0.44,0.0
20491.0,-0.49,0.0
20500.0,-0.43,0.0
20510.0,-0.36,0.0
20519.0,-0.32,0.0
20529.0,-0.39,0.0
20539.0,-0.36,0.0
20548.0,-0.29,0.0
20558.0,-0.25,0.0
20568.0,-0.24,0.0
20577.0,-0.19,0.0
20587.0,-0.15,0.0
20596.0,-0.11,0.0
20606.0,-0.09,0.0
20616.0,-0.15,0.0
20625.0,-0.12,0.0
20635.0,-0.06,0.0
20644.0,-0.07,0.0
20655.0,-0.15,0.0
20664.0,-0.12,0.0
20673.0,-0.05,0.0
20683.0,0.02,0.0
20692.0,-0.04,0.0
20702.0,-0.11,0.0
20712.0,-0.12,0.0
20721.0,-0.13,0.0
20731.0,-0.15,0.0
20741.0,-0.1,0.0
20750.0,-0.05,0.0
20760.0,-0.06,0.0
20769.0,-0.1,0.0
20780.0,-0.12,0.0
20789.0,-0.13,0.0
20798.0,-0.1,0.0
20808.0,-0.06,0.0
20817.0,-0.08,0.0
20828.0,-0.12,0.0
20837.0,-0.15,0.0
20846.0,-0.11,0.0
20856.0,-0.09,0.0
20866.0,-0.05,0.0
20876.0,-0.13,0.0
20885.0,-0.16,0.0
